doy,year,hour,shf,site,loc,sensorZ
187,2017,13.5,25.5644,hd,organic,5
187,2017,14,24.08487,hd,organic,5
187,2017,14.5,24.08733,hd,organic,5
187,2017,15,24.52383,hd,organic,5
187,2017,15.5,22.27365,hd,organic,5
187,2017,16,19.95652,hd,organic,5
187,2017,16.5,18.93955,hd,organic,5
187,2017,17,18.13639,hd,organic,5
187,2017,17.5,17.61371,hd,organic,5
187,2017,18,16.1897,hd,organic,5
187,2017,18.5,14.70096,hd,organic,5
187,2017,19,13.69366,hd,organic,5
187,2017,19.5,13.83996,hd,organic,5
187,2017,20,13.26935,hd,organic,5
187,2017,20.5,12.41633,hd,organic,5
187,2017,21,11.2691,hd,organic,5
187,2017,21.5,9.790552,hd,organic,5
187,2017,22,8.290649,hd,organic,5
187,2017,22.5,7.450987,hd,organic,5
187,2017,23,7.953905,hd,organic,5
187,2017,23.5,8.654954,hd,organic,5
188,2017,0,8.481884,hd,organic,5
188,2017,0.5,7.949132,hd,organic,5
188,2017,1,7.748585,hd,organic,5
188,2017,1.5,7.813118,hd,organic,5
188,2017,2,7.190171,hd,organic,5
188,2017,2.5,5.922504,hd,organic,5
188,2017,3,5.066679,hd,organic,5
188,2017,3.5,4.651301,hd,organic,5
188,2017,4,4.352071,hd,organic,5
188,2017,4.5,4.093739,hd,organic,5
188,2017,5,4.179441,hd,organic,5
188,2017,5.5,4.680188,hd,organic,5
188,2017,6,5.847392,hd,organic,5
188,2017,6.5,7.415604,hd,organic,5
188,2017,7,8.755803,hd,organic,5
188,2017,7.5,10.63332,hd,organic,5
188,2017,8,11.76764,hd,organic,5
188,2017,8.5,12.98792,hd,organic,5
188,2017,9,15.04358,hd,organic,5
188,2017,9.5,16.36109,hd,organic,5
188,2017,10,15.52229,hd,organic,5
188,2017,10.5,15.21427,hd,organic,5
188,2017,11,16.07226,hd,organic,5
188,2017,11.5,20.23639,hd,organic,5
188,2017,12,19.9555,hd,organic,5
188,2017,12.5,18.5204,hd,organic,5
188,2017,13,18.52109,hd,organic,5
188,2017,13.5,18.37674,hd,organic,5
188,2017,14,17.42399,hd,organic,5
188,2017,14.5,18.60568,hd,organic,5
188,2017,15,20.49051,hd,organic,5
188,2017,15.5,21.13309,hd,organic,5
188,2017,16,19.88843,hd,organic,5
188,2017,16.5,17.65415,hd,organic,5
188,2017,17,16.97749,hd,organic,5
188,2017,17.5,15.08522,hd,organic,5
188,2017,18,13.88016,hd,organic,5
